Id Contrat,#Id site client,Technologie,Durée contrat,Date contrat,Date MES,Service (hérité du contrat),Nbr Adductions
CTR-00084,SC-00090,VSAT,24,2022-04-04 00:00:00,2022-04-24 00:00:00,Backup réseau,2
CTR-00085,SC-00092,FTTO,24,2021-06-02 00:00:00,2021-07-10 00:00:00,VPN MPLS,1
CTR-00086,SC-00093,VSAT,60,2023-05-20 00:00:00,2023-08-05 00:00:00,VPN MPLS,1
CTR-00087,SC-00094,FTTO,12,2025-12-16 00:00:00,2026-03-02 00:00:00,Backup réseau,3
CTR-00088,SC-00095,BLR (WLL),12,2021-09-06 00:00:00,2021-11-13 00:00:00,Backup réseau,1
CTR-00089,SC-00097,BLR (WLL),36,2022-03-21 00:00:00,2022-04-24 00:00:00,Internet Très Haut Débit,2
CTR-00090,SC-00098,BLR (WLL),24,2021-03-31 00:00:00,2021-06-21 00:00:00,VPN MPLS,1
CTR-00091,SC-00099,BLR (WLL),48,2025-02-03 00:00:00,2025-03-14 00:00:00,Backup réseau,3
CTR-00092,SC-00100,FTTH,12,2025-03-08 00:00:00,2025-05-29 00:00:00,Accès Internet Sécurisé,2
CTR-00093,SC-00101,VSAT,24,2024-12-28 00:00:00,2025-03-15 00:00:00,Internet Très Haut Débit,1
CTR-00094,SC-00102,VSAT,48,2024-11-29 00:00:00,2024-12-30 00:00:00,VPN MPLS,3
CTR-00095,SC-00104,VSAT,24,2024-07-13 00:00:00,2024-09-19 00:00:00,Liaison Data,1
CTR-00096,SC-00105,VSAT,36,2023-01-04 00:00:00,2023-03-28 00:00:00,VPN MPLS,3
CTR-00097,SC-00106,VSAT,12,2022-04-25 00:00:00,2022-05-16 00:00:00,Internet Très Haut Débit,3
CTR-00098,SC-00107,BLR (WLL),48,2022-10-28 00:00:00,2022-11-25 00:00:00,VPN MPLS,1
CTR-00099,SC-00108,FTTO,48,2023-10-20 00:00:00,2023-12-31 00:00:00,VPN MPLS,3
CTR-00100,SC-00109,FTTH,48,2025-08-03 00:00:00,2025-08-25 00:00:00,Accès Internet Sécurisé,2
CTR-00101,SC-00110,BLR (WLL),12,2023-12-13 00:00:00,2024-02-12 00:00:00,Internet Très Haut Débit,2
CTR-00102,SC-00111,VSAT,24,2022-04-11 00:00:00,2022-05-30 00:00:00,Backup réseau,3
CTR-00103,SC-00112,FTTH,60,2022-11-30 00:00:00,2023-01-17 00:00:00,Accès Internet Sécurisé,1
CTR-00104,SC-00113,VSAT,60,2022-07-17 00:00:00,2022-08-15 00:00:00,Backup réseau,1
CTR-00105,SC-00114,BLR (WLL),12,2026-01-15 00:00:00,2026-02-03 00:00:00,VPN MPLS,3
CTR-00106,SC-00115,BLR (WLL),12,2026-03-29 00:00:00,2026-06-08 00:00:00,Accès Internet Sécurisé,1
CTR-00107,SC-00116,FTTO,36,2025-06-09 00:00:00,2025-07-23 00:00:00,Backup réseau,1
CTR-00108,SC-00117,FTTH,60,2024-07-20 00:00:00,2024-10-10 00:00:00,Accès Internet Sécurisé,2
CTR-00109,SC-00118,FTTO,60,2025-06-16 00:00:00,2025-07-08 00:00:00,VPN MPLS,2
CTR-00110,SC-00119,FTTO,48,2024-05-27 00:00:00,2024-08-23 00:00:00,Backup réseau,3
CTR-00111,SC-00120,BLR (WLL),24,2025-06-14 00:00:00,2025-08-11 00:00:00,VPN MPLS,1
CTR-00112,SC-00121,VSAT,12,2023-10-06 00:00:00,2023-11-22 00:00:00,Backup réseau,2
CTR-00113,SC-00122,BLR (WLL),60,2024-11-17 00:00:00,2025-02-04 00:00:00,VPN MPLS,3
CTR-00114,SC-00123,BLR (WLL),12,2024-08-27 00:00:00,2024-10-17 00:00:00,Liaison Data,1
CTR-00115,SC-00124,BLR (WLL),12,2026-02-04 00:00:00,2026-05-02 00:00:00,Internet Très Haut Débit,2
CTR-00116,SC-00125,FTTH,36,2024-09-30 00:00:00,2024-11-13 00:00:00,Accès Internet Sécurisé,3
CTR-00117,SC-00126,FTTO,24,2022-05-19 00:00:00,2022-06-14 00:00:00,Backup réseau,3
CTR-00118,SC-00127,VSAT,24,2024-11-21 00:00:00,2025-02-08 00:00:00,VPN MPLS,2
CTR-00119,SC-00128,BLR (WLL),48,2021-03-14 00:00:00,2021-03-30 00:00:00,VPN MPLS,1
CTR-00120,SC-00129,BLR (WLL),12,2021-06-20 00:00:00,2021-08-22 00:00:00,Liaison Data,2
CTR-00121,SC-00130,VSAT,12,2023-06-18 00:00:00,2023-07-25 00:00:00,VPN MPLS,1
CTR-00122,SC-00131,BLR (WLL),60,2022-01-16 00:00:00,2022-03-26 00:00:00,Accès Internet Sécurisé,1
CTR-00123,SC-00132,FTTO,24,2021-04-28 00:00:00,2021-07-12 00:00:00,Accès Internet Sécurisé,2
CTR-00124,SC-00133,BLR (WLL),48,2025-07-05 00:00:00,2025-08-27 00:00:00,Backup réseau,1
CTR-00125,SC-00134,BLR (WLL),48,2022-04-18 00:00:00,2022-05-25 00:00:00,Accès Internet Sécurisé,2
CTR-00126,SC-00135,BLR (WLL),48,2025-05-27 00:00:00,2025-08-12 00:00:00,Liaison Data,1
CTR-00127,SC-00136,BLR (WLL),48,2023-12-25 00:00:00,2024-03-12 00:00:00,Backup réseau,1
CTR-00128,SC-00137,FTTO,12,2022-03-25 00:00:00,2022-06-23 00:00:00,Internet Très Haut Débit,3
CTR-00129,SC-00138,VSAT,60,2021-04-09 00:00:00,2021-07-07 00:00:00,Accès Internet Sécurisé,1
CTR-00130,SC-00139,BLR (WLL),36,2021-01-28 00:00:00,2021-03-07 00:00:00,Accès Internet Sécurisé,3
