Id adduction,#Contrat,Type adduction,Status adduction,ODF Client,Port ODF Client,ODF INWI,Port ODF Inwi,Code liaison,#Id Equipement INWI,#Id Site INWI
ADD-000037,CTR-00037,Satellite,Opérationnelle,ODF-CL-13,P-09,ODF-INWI-04,P-09,LIA-554219,EQI-000057,SI-0029
ADD-000038,CTR-00038,Radio,Suspendue,ODF-CL-28,P-35,ODF-INWI-22,P-69,LIA-102503,EQI-000033,SI-0016
ADD-000039,CTR-00039,Satellite,Opérationnelle,ODF-CL-40,P-04,ODF-INWI-22,P-71,LIA-396880,EQI-000052,SI-0026
ADD-000040,CTR-00040,Fibre aérienne,En déploiement,ODF-CL-35,P-26,ODF-INWI-14,P-48,LIA-699875,EQI-000043,SI-0021
ADD-000041,CTR-00041,Satellite,Dégradée,ODF-CL-06,P-21,ODF-INWI-39,P-41,LIA-200786,EQI-000045,SI-0023
ADD-000042,CTR-00042,Fibre souterraine,Suspendue,ODF-CL-30,P-06,ODF-INWI-12,P-50,LIA-742838,EQI-000007,SI-0004
ADD-000043,CTR-00043,Fibre souterraine,Dégradée,ODF-CL-28,P-38,ODF-INWI-42,P-85,LIA-304071,EQI-000004,SI-0003
ADD-000044,CTR-00044,Fibre aérienne,Suspendue,ODF-CL-04,P-31,ODF-INWI-31,P-36,LIA-399115,EQI-000043,SI-0021
ADD-000045,CTR-00045,Satellite,Opérationnelle,ODF-CL-39,P-08,ODF-INWI-29,P-29,LIA-851179,EQI-000021,SI-0010
ADD-000046,CTR-00046,Fibre souterraine,Suspendue,ODF-CL-39,P-17,ODF-INWI-45,P-02,LIA-291951,EQI-000061,SI-0030
ADD-000047,CTR-00047,Satellite,Opérationnelle,ODF-CL-23,P-10,ODF-INWI-19,P-96,LIA-589919,EQI-000053,SI-0027
ADD-000048,CTR-00048,Satellite,Opérationnelle,ODF-CL-22,P-22,ODF-INWI-39,P-21,LIA-447775,EQI-000006,SI-0003
ADD-000049,CTR-00049,Fibre aérienne,Opérationnelle,ODF-CL-28,P-01,ODF-INWI-12,P-21,LIA-421358,EQI-000046,SI-0023
ADD-000050,CTR-00050,Satellite,Dégradée,ODF-CL-32,P-12,ODF-INWI-05,P-07,LIA-532910,EQI-000048,SI-0024
ADD-000051,CTR-00051,Radio,Dégradée,ODF-CL-17,P-21,ODF-INWI-37,P-10,LIA-311007,EQI-000052,SI-0026
ADD-000052,CTR-00052,Radio,Suspendue,ODF-CL-12,P-05,ODF-INWI-10,P-86,LIA-451831,EQI-000015,SI-0008
ADD-000053,CTR-00053,Fibre aérienne,Suspendue,ODF-CL-25,P-35,ODF-INWI-14,P-39,LIA-897025,EQI-000061,SI-0030
ADD-000054,CTR-00054,Fibre souterraine,Opérationnelle,ODF-CL-27,P-33,ODF-INWI-45,P-09,LIA-203007,EQI-000017,SI-0009
ADD-000055,CTR-00055,Radio,Suspendue,ODF-CL-40,P-20,ODF-INWI-40,P-81,LIA-166001,EQI-000062,SI-0031
ADD-000056,CTR-00056,Fibre aérienne,En déploiement,ODF-CL-19,P-17,ODF-INWI-56,P-75,LIA-627964,EQI-000059,SI-0029
ADD-000057,CTR-00057,Satellite,Suspendue,ODF-CL-16,P-08,ODF-INWI-22,P-33,LIA-164830,EQI-000035,SI-0017
ADD-000058,CTR-00058,Satellite,Suspendue,ODF-CL-15,P-48,ODF-INWI-47,P-75,LIA-252257,EQI-000014,SI-0008
ADD-000059,CTR-00059,Fibre souterraine,Suspendue,ODF-CL-05,P-47,ODF-INWI-32,P-78,LIA-924612,EQI-000001,SI-0001
ADD-000060,CTR-00060,Fibre souterraine,En déploiement,ODF-CL-08,P-28,ODF-INWI-55,P-42,LIA-746285,EQI-000035,SI-0017
ADD-000061,CTR-00061,Fibre aérienne,Opérationnelle,ODF-CL-36,P-31,ODF-INWI-24,P-55,LIA-953146,EQI-000024,SI-0012
ADD-000062,CTR-00062,Satellite,Suspendue,ODF-CL-33,P-43,ODF-INWI-15,P-36,LIA-874304,EQI-000035,SI-0017
ADD-000063,CTR-00063,Satellite,En déploiement,ODF-CL-29,P-16,ODF-INWI-57,P-75,LIA-251195,EQI-000051,SI-0025
ADD-000064,CTR-00064,Satellite,En déploiement,ODF-CL-05,P-23,ODF-INWI-57,P-80,LIA-518390,EQI-000049,SI-0024
ADD-000065,CTR-00065,Fibre souterraine,En déploiement,ODF-CL-21,P-21,ODF-INWI-12,P-70,LIA-218568,EQI-000004,SI-0003
ADD-000066,CTR-00066,Fibre souterraine,En déploiement,ODF-CL-15,P-38,ODF-INWI-18,P-35,LIA-128049,EQI-000028,SI-0014
ADD-000067,CTR-00067,Satellite,Dégradée,ODF-CL-37,P-11,ODF-INWI-02,P-43,LIA-590753,EQI-000051,SI-0025
ADD-000068,CTR-00068,Fibre souterraine,Dégradée,ODF-CL-03,P-19,ODF-INWI-54,P-90,LIA-269044,EQI-000019,SI-0009
ADD-000069,CTR-00069,Satellite,Suspendue,ODF-CL-27,P-26,ODF-INWI-11,P-34,LIA-792005,EQI-000015,SI-0008
ADD-000070,CTR-00070,Fibre souterraine,Opérationnelle,ODF-CL-22,P-28,ODF-INWI-04,P-58,LIA-235856,EQI-000036,SI-0018
ADD-000071,CTR-00071,Satellite,Suspendue,ODF-CL-26,P-45,ODF-INWI-20,P-25,LIA-265298,EQI-000048,SI-0024
ADD-000072,CTR-00072,Fibre aérienne,Opérationnelle,ODF-CL-34,P-36,ODF-INWI-05,P-06,LIA-881222,EQI-000047,SI-0024
ADD-000073,CTR-00073,Fibre souterraine,Suspendue,ODF-CL-38,P-01,ODF-INWI-40,P-62,LIA-986277,EQI-000065,SI-0032
ADD-000074,CTR-00074,Satellite,Dégradée,ODF-CL-40,P-28,ODF-INWI-24,P-54,LIA-185735,EQI-000060,SI-0030
ADD-000075,CTR-00075,Fibre souterraine,En déploiement,ODF-CL-21,P-05,ODF-INWI-19,P-96,LIA-212839,EQI-000008,SI-0004
ADD-000076,CTR-00076,Satellite,Dégradée,ODF-CL-29,P-46,ODF-INWI-39,P-38,LIA-571860,EQI-000052,SI-0026
ADD-000077,CTR-00077,Satellite,En déploiement,ODF-CL-24,P-42,ODF-INWI-44,P-92,LIA-300595,EQI-000027,SI-0014
ADD-000078,CTR-00078,Fibre aérienne,Opérationnelle,ODF-CL-23,P-16,ODF-INWI-58,P-13,LIA-401182,EQI-000041,SI-0020
ADD-000079,CTR-00079,Radio,Dégradée,ODF-CL-33,P-28,ODF-INWI-11,P-19,LIA-541781,EQI-000052,SI-0026
ADD-000080,CTR-00080,Satellite,En déploiement,ODF-CL-05,P-35,ODF-INWI-53,P-42,LIA-214002,EQI-000035,SI-0017
ADD-000081,CTR-00081,Satellite,Suspendue,ODF-CL-26,P-23,ODF-INWI-54,P-65,LIA-495718,EQI-000015,SI-0008
ADD-000082,CTR-00082,Fibre souterraine,Suspendue,ODF-CL-24,P-28,ODF-INWI-20,P-90,LIA-539015,EQI-000009,SI-0005
ADD-000083,CTR-00083,Fibre souterraine,Suspendue,ODF-CL-19,P-20,ODF-INWI-26,P-73,LIA-457227,EQI-000027,SI-0014
ADD-000084,CTR-00084,Satellite,En déploiement,ODF-CL-11,P-12,ODF-INWI-60,P-87,LIA-675894,EQI-000063,SI-0031
ADD-000085,CTR-00085,Fibre aérienne,Dégradée,ODF-CL-27,P-10,ODF-INWI-34,P-42,LIA-732101,EQI-000008,SI-0004
ADD-000086,CTR-00086,Satellite,Suspendue,ODF-CL-24,P-42,ODF-INWI-27,P-06,LIA-892666,EQI-000003,SI-0002
ADD-000087,CTR-00087,Fibre aérienne,Dégradée,ODF-CL-22,P-22,ODF-INWI-52,P-48,LIA-782947,EQI-000037,SI-0018
ADD-000088,CTR-00088,Radio,Suspendue,ODF-CL-32,P-02,ODF-INWI-42,P-11,LIA-885262,EQI-000074,SI-0035
ADD-000089,CTR-00089,Radio,Dégradée,ODF-CL-34,P-36,ODF-INWI-05,P-37,LIA-337987,EQI-000022,SI-0010
ADD-000090,CTR-00090,Radio,Opérationnelle,ODF-CL-36,P-03,ODF-INWI-22,P-93,LIA-417805,EQI-000043,SI-0021
ADD-000091,CTR-00091,Radio,Opérationnelle,ODF-CL-26,P-47,ODF-INWI-10,P-14,LIA-675856,EQI-000043,SI-0021
ADD-000092,CTR-00092,Fibre souterraine,Dégradée,ODF-CL-37,P-04,ODF-INWI-50,P-14,LIA-190437,EQI-000046,SI-0023
ADD-000093,CTR-00093,Satellite,En déploiement,ODF-CL-39,P-26,ODF-INWI-14,P-34,LIA-124786,EQI-000013,SI-0007
ADD-000094,CTR-00094,Satellite,En déploiement,ODF-CL-21,P-09,ODF-INWI-25,P-39,LIA-370254,EQI-000028,SI-0014
ADD-000095,CTR-00095,Satellite,En déploiement,ODF-CL-24,P-45,ODF-INWI-40,P-17,LIA-766557,EQI-000005,SI-0003
ADD-000096,CTR-00096,Satellite,Opérationnelle,ODF-CL-10,P-15,ODF-INWI-43,P-17,LIA-148524,EQI-000009,SI-0005
ADD-000097,CTR-00097,Satellite,Suspendue,ODF-CL-21,P-05,ODF-INWI-17,P-67,LIA-969394,EQI-000003,SI-0002
ADD-000098,CTR-00098,Radio,Opérationnelle,ODF-CL-31,P-15,ODF-INWI-23,P-41,LIA-837450,EQI-000069,SI-0033
ADD-000099,CTR-00099,Fibre souterraine,En déploiement,ODF-CL-26,P-33,ODF-INWI-02,P-39,LIA-526780,EQI-000009,SI-0005
ADD-000100,CTR-00100,Fibre aérienne,Suspendue,ODF-CL-32,P-41,ODF-INWI-44,P-28,LIA-105827,EQI-000056,SI-0028
ADD-000101,CTR-00101,Radio,Dégradée,ODF-CL-20,P-27,ODF-INWI-18,P-47,LIA-246009,EQI-000051,SI-0025
ADD-000102,CTR-00102,Satellite,Suspendue,ODF-CL-12,P-24,ODF-INWI-39,P-67,LIA-384769,EQI-000040,SI-0019
ADD-000103,CTR-00103,Fibre souterraine,Dégradée,ODF-CL-08,P-45,ODF-INWI-55,P-12,LIA-286726,EQI-000012,SI-0007
ADD-000104,CTR-00104,Satellite,Dégradée,ODF-CL-29,P-39,ODF-INWI-60,P-40,LIA-550296,EQI-000042,SI-0020
ADD-000105,CTR-00105,Radio,Suspendue,ODF-CL-19,P-03,ODF-INWI-11,P-31,LIA-696452,EQI-000010,SI-0006
ADD-000106,CTR-00106,Radio,Suspendue,ODF-CL-19,P-14,ODF-INWI-49,P-55,LIA-851366,EQI-000037,SI-0018
ADD-000107,CTR-00107,Fibre souterraine,Opérationnelle,ODF-CL-11,P-48,ODF-INWI-17,P-13,LIA-311534,EQI-000046,SI-0023
ADD-000108,CTR-00108,Fibre aérienne,Dégradée,ODF-CL-21,P-19,ODF-INWI-45,P-05,LIA-313164,EQI-000020,SI-0010
ADD-000109,CTR-00109,Fibre aérienne,Dégradée,ODF-CL-08,P-35,ODF-INWI-35,P-34,LIA-873411,EQI-000064,SI-0032
ADD-000110,CTR-00110,Fibre souterraine,En déploiement,ODF-CL-10,P-14,ODF-INWI-37,P-65,LIA-483185,EQI-000046,SI-0023
ADD-000111,CTR-00111,Radio,Dégradée,ODF-CL-11,P-09,ODF-INWI-01,P-20,LIA-196723,EQI-000070,SI-0034
ADD-000112,CTR-00112,Satellite,Opérationnelle,ODF-CL-10,P-28,ODF-INWI-37,P-49,LIA-440179,EQI-000029,SI-0015
ADD-000113,CTR-00113,Radio,Suspendue,ODF-CL-25,P-41,ODF-INWI-28,P-58,LIA-799742,EQI-000070,SI-0034
ADD-000114,CTR-00114,Radio,Suspendue,ODF-CL-14,P-22,ODF-INWI-04,P-93,LIA-738233,EQI-000002,SI-0001
ADD-000115,CTR-00115,Radio,Opérationnelle,ODF-CL-02,P-38,ODF-INWI-54,P-28,LIA-297318,EQI-000012,SI-0007
ADD-000116,CTR-00116,Fibre souterraine,En déploiement,ODF-CL-31,P-07,ODF-INWI-51,P-89,LIA-808441,EQI-000067,SI-0033
ADD-000117,CTR-00117,Fibre souterraine,Dégradée,ODF-CL-23,P-19,ODF-INWI-48,P-33,LIA-487742,EQI-000051,SI-0025
ADD-000118,CTR-00118,Satellite,En déploiement,ODF-CL-08,P-09,ODF-INWI-11,P-51,LIA-753980,EQI-000010,SI-0006
ADD-000119,CTR-00119,Radio,Suspendue,ODF-CL-20,P-40,ODF-INWI-33,P-30,LIA-930809,EQI-000045,SI-0023
ADD-000120,CTR-00120,Radio,Suspendue,ODF-CL-03,P-34,ODF-INWI-59,P-55,LIA-907656,EQI-000066,SI-0032
ADD-000121,CTR-00121,Satellite,En déploiement,ODF-CL-20,P-32,ODF-INWI-32,P-02,LIA-849028,EQI-000022,SI-0010
ADD-000122,CTR-00122,Radio,En déploiement,ODF-CL-08,P-48,ODF-INWI-34,P-22,LIA-773283,EQI-000024,SI-0012
ADD-000123,CTR-00123,Fibre aérienne,Dégradée,ODF-CL-15,P-13,ODF-INWI-51,P-13,LIA-206956,EQI-000045,SI-0023
ADD-000124,CTR-00124,Radio,Opérationnelle,ODF-CL-01,P-10,ODF-INWI-44,P-85,LIA-691177,EQI-000046,SI-0023
ADD-000125,CTR-00125,Radio,Opérationnelle,ODF-CL-28,P-12,ODF-INWI-45,P-02,LIA-707453,EQI-000044,SI-0022
ADD-000126,CTR-00126,Radio,Opérationnelle,ODF-CL-32,P-45,ODF-INWI-59,P-21,LIA-128990,EQI-000009,SI-0005
ADD-000127,CTR-00127,Radio,Opérationnelle,ODF-CL-14,P-33,ODF-INWI-51,P-16,LIA-888499,EQI-000042,SI-0020
ADD-000128,CTR-00128,Fibre souterraine,Dégradée,ODF-CL-37,P-15,ODF-INWI-38,P-56,LIA-992225,EQI-000041,SI-0020
ADD-000129,CTR-00129,Satellite,En déploiement,ODF-CL-26,P-14,ODF-INWI-47,P-13,LIA-199515,EQI-000007,SI-0004
ADD-000130,CTR-00130,Radio,En déploiement,ODF-CL-17,P-12,ODF-INWI-04,P-40,LIA-682809,EQI-000010,SI-0006
