Id Equipement client,#Id site client,#Id Contrat,Equipement name,Type/ Reference,Fournisseur,Serial Number,Code SAP/ Article,Adresse IP,Port équipement
EQC-000028,SC-00025,CTR-00022,ONT Nokia,Firewall,Nokia,CLT-253448,SAP-79163,10.30.171.25,GE0/18
EQC-000029,SC-00026,CTR-00023,Switch Cisco Catalyst,CPE,Cisco,CLT-864122,SAP-92744,10.151.107.232,GE2/13
EQC-000030,SC-00026,CTR-00023,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-721863,SAP-47695,10.253.103.89,GE2/9
EQC-000031,SC-00027,CTR-00024,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-237517,SAP-65989,10.76.42.204,GE3/46
EQC-000032,SC-00028,CTR-00025,ONT Nokia,Switch,Nokia,CLT-273083,SAP-15308,10.36.164.127,GE3/22
EQC-000033,SC-00028,CTR-00025,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-820814,SAP-50728,10.50.105.160,GE1/10
EQC-000034,SC-00029,CTR-00026,ONT Nokia,Routeur entreprise,Nokia,CLT-251506,SAP-19033,10.239.87.252,GE3/27
EQC-000035,SC-00029,CTR-00026,ONT Nokia,Switch,Nokia,CLT-606296,SAP-24826,10.242.209.209,GE1/10
EQC-000036,SC-00030,CTR-00027,Routeur Cisco ISR,CPE,Cisco,CLT-111594,SAP-59145,10.223.20.105,GE1/36
EQC-000037,SC-00031,CTR-00028,Firewall Fortinet,Firewall,Fortinet,CLT-189069,SAP-27624,10.160.196.239,GE0/9
EQC-000038,SC-00033,CTR-00029,Firewall Fortinet,CPE,Fortinet,CLT-185383,SAP-60760,10.176.229.28,GE1/5
EQC-000039,SC-00033,CTR-00029,Switch Cisco Catalyst,ONT,Cisco,CLT-462416,SAP-10303,10.41.247.184,GE3/26
EQC-000040,SC-00034,CTR-00030,Routeur Huawei,Switch,Huawei,CLT-846033,SAP-42638,10.22.31.162,GE3/10
EQC-000041,SC-00035,CTR-00031,Routeur Huawei,Firewall,Huawei,CLT-249521,SAP-89784,10.136.174.75,GE0/6
EQC-000042,SC-00036,CTR-00032,ONT Nokia,CPE,Nokia,CLT-658198,SAP-47121,10.166.99.163,GE0/33
EQC-000043,SC-00037,CTR-00033,ONT Nokia,Routeur entreprise,Nokia,CLT-139706,SAP-60711,10.7.67.9,GE2/1
EQC-000044,SC-00037,CTR-00033,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-443210,SAP-99499,10.109.158.75,GE2/37
EQC-000045,SC-00038,CTR-00034,Routeur Huawei,Firewall,Huawei,CLT-667050,SAP-90538,10.133.196.200,GE3/46
EQC-000046,SC-00039,CTR-00035,Switch Cisco Catalyst,Firewall,Cisco,CLT-630292,SAP-16097,10.77.136.125,GE0/47
EQC-000047,SC-00040,CTR-00036,Switch Cisco Catalyst,CPE,Cisco,CLT-164915,SAP-10879,10.48.149.60,GE3/43
EQC-000048,SC-00041,CTR-00037,Switch Cisco Catalyst,ONT,Cisco,CLT-485703,SAP-18220,10.224.134.192,GE0/16
EQC-000049,SC-00042,CTR-00038,Routeur Huawei,Switch,Huawei,CLT-954388,SAP-30091,10.145.164.212,GE1/15
EQC-000050,SC-00042,CTR-00038,Routeur Huawei,ONT,Huawei,CLT-147649,SAP-28884,10.183.144.117,GE1/37
EQC-000051,SC-00043,CTR-00039,Firewall Fortinet,ONT,Fortinet,CLT-326339,SAP-71885,10.106.22.170,GE3/12
EQC-000052,SC-00043,CTR-00039,Routeur Huawei,Firewall,Huawei,CLT-593998,SAP-51845,10.147.17.245,GE1/27
EQC-000053,SC-00044,CTR-00040,ONT Nokia,Firewall,Nokia,CLT-608695,SAP-19392,10.62.65.59,GE3/29
EQC-000054,SC-00045,CTR-00041,Firewall Fortinet,CPE,Fortinet,CLT-236634,SAP-89738,10.205.141.183,GE0/24
EQC-000055,SC-00046,CTR-00042,Firewall Fortinet,Switch,Fortinet,CLT-845925,SAP-80032,10.175.171.63,GE3/47
EQC-000056,SC-00047,CTR-00043,Switch Cisco Catalyst,Switch,Cisco,CLT-523282,SAP-45703,10.92.73.67,GE2/44
EQC-000057,SC-00047,CTR-00043,Firewall Fortinet,Switch,Fortinet,CLT-572728,SAP-37252,10.96.203.133,GE2/29
EQC-000058,SC-00048,CTR-00044,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-256082,SAP-48264,10.146.145.110,GE0/23
EQC-000059,SC-00049,CTR-00045,Firewall Fortinet,CPE,Fortinet,CLT-351643,SAP-67778,10.84.48.175,GE2/34
EQC-000060,SC-00049,CTR-00045,ONT Nokia,Routeur entreprise,Nokia,CLT-183467,SAP-76350,10.144.34.114,GE0/37
EQC-000061,SC-00050,CTR-00046,ONT Nokia,ONT,Nokia,CLT-527640,SAP-26394,10.145.100.121,GE0/41
EQC-000062,SC-00050,CTR-00046,Routeur Cisco ISR,Firewall,Cisco,CLT-932633,SAP-93985,10.152.238.162,GE3/19
EQC-000063,SC-00051,CTR-00047,ONT Nokia,Switch,Nokia,CLT-230031,SAP-64711,10.31.62.140,GE3/21
EQC-000064,SC-00051,CTR-00047,Firewall Fortinet,Switch,Fortinet,CLT-607468,SAP-31457,10.79.33.165,GE2/0
EQC-000065,SC-00052,CTR-00048,Routeur Cisco ISR,Firewall,Cisco,CLT-669622,SAP-94293,10.120.117.100,GE1/21
EQC-000066,SC-00053,CTR-00049,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-421377,SAP-77624,10.133.32.120,GE2/38
EQC-000067,SC-00054,CTR-00050,Firewall Fortinet,CPE,Fortinet,CLT-103334,SAP-65793,10.40.47.138,GE2/46
EQC-000068,SC-00054,CTR-00050,ONT Nokia,Switch,Nokia,CLT-477335,SAP-37092,10.32.157.190,GE3/7
EQC-000069,SC-00055,CTR-00051,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-675627,SAP-19025,10.29.91.112,GE0/5
EQC-000070,SC-00055,CTR-00051,Switch Cisco Catalyst,Routeur entreprise,Cisco,CLT-757302,SAP-36613,10.82.216.165,GE1/45
EQC-000071,SC-00056,CTR-00052,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-459656,SAP-48487,10.55.76.205,GE0/45
EQC-000072,SC-00056,CTR-00052,Switch Cisco Catalyst,ONT,Cisco,CLT-883667,SAP-73248,10.196.129.245,GE3/24
EQC-000073,SC-00057,CTR-00053,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-216362,SAP-57008,10.115.227.206,GE1/40
EQC-000074,SC-00058,CTR-00054,Routeur Cisco ISR,ONT,Cisco,CLT-236718,SAP-98759,10.171.117.23,GE3/28
EQC-000075,SC-00058,CTR-00054,Switch Cisco Catalyst,ONT,Cisco,CLT-581764,SAP-72067,10.196.31.59,GE1/2
EQC-000076,SC-00059,CTR-00055,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-516296,SAP-53386,10.15.211.221,GE3/20
EQC-000077,SC-00060,CTR-00056,Switch Cisco Catalyst,ONT,Cisco,CLT-857576,SAP-86831,10.213.230.69,GE3/5
EQC-000078,SC-00061,CTR-00057,ONT Nokia,Switch,Nokia,CLT-870169,SAP-79952,10.106.200.246,GE1/36
EQC-000079,SC-00062,CTR-00058,Routeur Cisco ISR,Firewall,Cisco,CLT-341802,SAP-96707,10.156.92.130,GE1/36
EQC-000080,SC-00062,CTR-00058,Routeur Huawei,Firewall,Huawei,CLT-387060,SAP-89699,10.47.60.204,GE0/35
EQC-000081,SC-00063,CTR-00059,Firewall Fortinet,Firewall,Fortinet,CLT-557043,SAP-94089,10.208.44.217,GE1/7
EQC-000082,SC-00064,CTR-00060,ONT Nokia,Firewall,Nokia,CLT-793770,SAP-80507,10.99.13.238,GE1/42
EQC-000083,SC-00065,CTR-00061,ONT Nokia,CPE,Nokia,CLT-665661,SAP-15263,10.33.64.172,GE2/33
EQC-000084,SC-00066,CTR-00062,ONT Nokia,Switch,Nokia,CLT-663734,SAP-35188,10.47.105.199,GE1/35
EQC-000085,SC-00066,CTR-00062,Firewall Fortinet,CPE,Fortinet,CLT-555626,SAP-79407,10.121.121.206,GE0/17
EQC-000086,SC-00067,CTR-00063,Switch Cisco Catalyst,ONT,Cisco,CLT-449738,SAP-80504,10.162.23.28,GE3/3
EQC-000087,SC-00068,CTR-00064,ONT Nokia,Switch,Nokia,CLT-368753,SAP-81366,10.160.213.46,GE3/23
EQC-000088,SC-00068,CTR-00064,Firewall Fortinet,Firewall,Fortinet,CLT-449942,SAP-15336,10.203.222.170,GE3/32
EQC-000089,SC-00069,CTR-00065,Routeur Huawei,Switch,Huawei,CLT-814665,SAP-43244,10.196.200.154,GE2/33
EQC-000090,SC-00070,CTR-00066,Firewall Fortinet,CPE,Fortinet,CLT-401830,SAP-98900,10.174.179.127,GE3/32
EQC-000091,SC-00071,CTR-00067,Routeur Cisco ISR,Firewall,Cisco,CLT-719970,SAP-38885,10.91.134.121,GE2/0
EQC-000092,SC-00073,CTR-00068,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-241976,SAP-22697,10.241.125.101,GE3/5
EQC-000093,SC-00074,CTR-00069,Routeur Cisco ISR,ONT,Cisco,CLT-434648,SAP-72346,10.122.118.137,GE3/27
EQC-000094,SC-00074,CTR-00069,ONT Nokia,Firewall,Nokia,CLT-192646,SAP-68280,10.89.175.27,GE3/14
EQC-000095,SC-00075,CTR-00070,Firewall Fortinet,Firewall,Fortinet,CLT-794565,SAP-61863,10.190.143.35,GE1/16
EQC-000096,SC-00075,CTR-00070,Switch Cisco Catalyst,Firewall,Cisco,CLT-658067,SAP-67607,10.35.74.248,GE0/6
EQC-000097,SC-00076,CTR-00071,Switch Cisco Catalyst,Firewall,Cisco,CLT-802010,SAP-92545,10.238.8.58,GE0/38
EQC-000098,SC-00077,CTR-00072,Firewall Fortinet,CPE,Fortinet,CLT-677297,SAP-71439,10.32.233.17,GE0/14
EQC-000099,SC-00077,CTR-00072,Firewall Fortinet,Firewall,Fortinet,CLT-730223,SAP-93015,10.223.160.11,GE1/44
EQC-000100,SC-00078,CTR-00073,Routeur Huawei,Firewall,Huawei,CLT-675779,SAP-27380,10.255.77.95,GE1/20
EQC-000101,SC-00078,CTR-00073,Firewall Fortinet,Switch,Fortinet,CLT-428702,SAP-94220,10.47.76.117,GE2/32
EQC-000102,SC-00079,CTR-00074,ONT Nokia,Routeur entreprise,Nokia,CLT-293091,SAP-98668,10.153.34.19,GE3/22
EQC-000103,SC-00080,CTR-00075,Switch Cisco Catalyst,Switch,Cisco,CLT-887407,SAP-73409,10.23.188.207,GE0/4
EQC-000104,SC-00080,CTR-00075,Routeur Cisco ISR,Firewall,Cisco,CLT-521454,SAP-47457,10.183.206.101,GE0/44
EQC-000105,SC-00082,CTR-00076,Routeur Cisco ISR,ONT,Cisco,CLT-920134,SAP-40674,10.60.137.5,GE3/17
EQC-000106,SC-00083,CTR-00077,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-580711,SAP-88823,10.81.20.12,GE2/24
EQC-000107,SC-00084,CTR-00078,ONT Nokia,CPE,Nokia,CLT-148706,SAP-33936,10.233.71.140,GE2/47
EQC-000108,SC-00084,CTR-00078,Firewall Fortinet,ONT,Fortinet,CLT-160213,SAP-88219,10.146.129.191,GE1/17
EQC-000109,SC-00085,CTR-00079,ONT Nokia,Firewall,Nokia,CLT-788230,SAP-34195,10.142.7.53,GE0/12
EQC-000110,SC-00086,CTR-00080,Firewall Fortinet,Firewall,Fortinet,CLT-157479,SAP-21733,10.11.202.19,GE2/17
EQC-000111,SC-00087,CTR-00081,Routeur Huawei,Firewall,Huawei,CLT-703180,SAP-34989,10.151.156.22,GE1/35
EQC-000112,SC-00088,CTR-00082,Firewall Fortinet,CPE,Fortinet,CLT-804196,SAP-99195,10.106.58.56,GE0/45
EQC-000113,SC-00088,CTR-00082,Switch Cisco Catalyst,Routeur entreprise,Cisco,CLT-813965,SAP-85372,10.85.161.1,GE3/14
EQC-000114,SC-00089,CTR-00083,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-263378,SAP-86857,10.114.72.141,GE0/6
EQC-000115,SC-00090,CTR-00084,ONT Nokia,CPE,Nokia,CLT-495471,SAP-15675,10.222.61.188,GE2/15
EQC-000116,SC-00092,CTR-00085,Routeur Cisco ISR,CPE,Cisco,CLT-922581,SAP-20765,10.224.254.241,GE3/9
EQC-000117,SC-00092,CTR-00085,ONT Nokia,Firewall,Nokia,CLT-981270,SAP-28435,10.35.146.22,GE1/13
EQC-000118,SC-00093,CTR-00086,Routeur Huawei,Firewall,Huawei,CLT-629819,SAP-83945,10.188.4.240,GE0/6
EQC-000119,SC-00094,CTR-00087,Firewall Fortinet,Switch,Fortinet,CLT-865024,SAP-47733,10.6.100.31,GE3/14
EQC-000120,SC-00095,CTR-00088,ONT Nokia,ONT,Nokia,CLT-417477,SAP-81406,10.141.239.182,GE2/2
EQC-000121,SC-00097,CTR-00089,Switch Cisco Catalyst,Switch,Cisco,CLT-484327,SAP-63353,10.154.20.146,GE2/43
EQC-000122,SC-00097,CTR-00089,ONT Nokia,Routeur entreprise,Nokia,CLT-789238,SAP-58596,10.73.240.88,GE2/25
EQC-000123,SC-00098,CTR-00090,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-660518,SAP-23559,10.25.59.60,GE1/9
EQC-000124,SC-00099,CTR-00091,Switch Cisco Catalyst,ONT,Cisco,CLT-514377,SAP-31291,10.123.92.143,GE2/28
EQC-000125,SC-00100,CTR-00092,Routeur Huawei,Routeur entreprise,Huawei,CLT-468659,SAP-51147,10.68.221.221,GE2/31
EQC-000126,SC-00100,CTR-00092,Routeur Huawei,Firewall,Huawei,CLT-225978,SAP-90691,10.111.152.220,GE1/9
EQC-000127,SC-00101,CTR-00093,Switch Cisco Catalyst,CPE,Cisco,CLT-867655,SAP-38974,10.33.40.43,GE1/9
EQC-000128,SC-00102,CTR-00094,ONT Nokia,Firewall,Nokia,CLT-514223,SAP-61457,10.159.103.27,GE2/20
EQC-000129,SC-00104,CTR-00095,Routeur Huawei,CPE,Huawei,CLT-450015,SAP-92711,10.30.163.77,GE0/34
EQC-000130,SC-00105,CTR-00096,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-258915,SAP-45763,10.5.183.235,GE3/23
EQC-000131,SC-00106,CTR-00097,Routeur Cisco ISR,CPE,Cisco,CLT-868861,SAP-98607,10.171.206.149,GE2/33
EQC-000132,SC-00107,CTR-00098,Firewall Fortinet,Switch,Fortinet,CLT-416016,SAP-75714,10.139.172.170,GE2/28
EQC-000133,SC-00107,CTR-00098,ONT Nokia,CPE,Nokia,CLT-236864,SAP-20269,10.27.147.163,GE2/21
EQC-000134,SC-00108,CTR-00099,ONT Nokia,Routeur entreprise,Nokia,CLT-824496,SAP-66066,10.74.181.218,GE0/47
EQC-000135,SC-00109,CTR-00100,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-372509,SAP-71452,10.13.35.227,GE0/11
EQC-000136,SC-00110,CTR-00101,Switch Cisco Catalyst,Switch,Cisco,CLT-100911,SAP-66519,10.132.140.11,GE2/7
EQC-000137,SC-00110,CTR-00101,Switch Cisco Catalyst,Routeur entreprise,Cisco,CLT-224745,SAP-42185,10.191.74.68,GE2/29
EQC-000138,SC-00111,CTR-00102,Routeur Huawei,CPE,Huawei,CLT-555889,SAP-61544,10.200.42.62,GE1/46
EQC-000139,SC-00112,CTR-00103,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-366650,SAP-32729,10.209.223.153,GE3/42
EQC-000140,SC-00113,CTR-00104,Routeur Cisco ISR,Switch,Cisco,CLT-589136,SAP-64714,10.243.122.221,GE1/32
EQC-000141,SC-00114,CTR-00105,Firewall Fortinet,Switch,Fortinet,CLT-344617,SAP-90720,10.53.8.11,GE2/22
EQC-000142,SC-00115,CTR-00106,Switch Cisco Catalyst,Firewall,Cisco,CLT-472666,SAP-45421,10.30.15.53,GE0/25
EQC-000143,SC-00116,CTR-00107,Routeur Cisco ISR,ONT,Cisco,CLT-457689,SAP-68288,10.52.187.176,GE1/17
EQC-000144,SC-00117,CTR-00108,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-419995,SAP-80851,10.28.36.140,GE3/37
EQC-000145,SC-00118,CTR-00109,Routeur Huawei,Switch,Huawei,CLT-516039,SAP-60360,10.2.249.106,GE2/36
EQC-000146,SC-00119,CTR-00110,Routeur Huawei,Routeur entreprise,Huawei,CLT-118371,SAP-35539,10.21.97.92,GE1/44
EQC-000147,SC-00120,CTR-00111,Firewall Fortinet,CPE,Fortinet,CLT-664316,SAP-56740,10.111.32.20,GE0/43
EQC-000148,SC-00121,CTR-00112,Routeur Cisco ISR,CPE,Cisco,CLT-714434,SAP-77158,10.189.204.196,GE3/23
EQC-000149,SC-00121,CTR-00112,Routeur Huawei,Firewall,Huawei,CLT-283796,SAP-23276,10.20.64.219,GE1/41
EQC-000150,SC-00122,CTR-00113,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-910134,SAP-60698,10.192.49.192,GE1/1
EQC-000151,SC-00123,CTR-00114,Switch Cisco Catalyst,CPE,Cisco,CLT-968384,SAP-44607,10.242.228.112,GE0/12
EQC-000152,SC-00123,CTR-00114,Switch Cisco Catalyst,ONT,Cisco,CLT-480965,SAP-63760,10.162.173.103,GE0/10
EQC-000153,SC-00124,CTR-00115,Routeur Huawei,ONT,Huawei,CLT-320086,SAP-76479,10.243.15.107,GE0/3
EQC-000154,SC-00124,CTR-00115,Routeur Cisco ISR,ONT,Cisco,CLT-370443,SAP-16764,10.247.202.9,GE2/28
EQC-000155,SC-00125,CTR-00116,Switch Cisco Catalyst,Switch,Cisco,CLT-190174,SAP-63443,10.161.220.64,GE1/29
EQC-000156,SC-00125,CTR-00116,Routeur Huawei,ONT,Huawei,CLT-684602,SAP-45895,10.244.145.58,GE3/21
EQC-000157,SC-00126,CTR-00117,Switch Cisco Catalyst,ONT,Cisco,CLT-277292,SAP-74960,10.177.171.68,GE1/11
EQC-000158,SC-00127,CTR-00118,Routeur Huawei,CPE,Huawei,CLT-901097,SAP-11708,10.8.181.97,GE1/33
EQC-000159,SC-00127,CTR-00118,Routeur Cisco ISR,Switch,Cisco,CLT-408612,SAP-87190,10.189.212.110,GE0/39
EQC-000160,SC-00128,CTR-00119,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-517038,SAP-89308,10.145.50.210,GE2/11
EQC-000161,SC-00129,CTR-00120,Routeur Huawei,CPE,Huawei,CLT-917587,SAP-36916,10.225.223.72,GE3/45
EQC-000162,SC-00129,CTR-00120,Firewall Fortinet,ONT,Fortinet,CLT-415190,SAP-35428,10.65.103.134,GE3/27
EQC-000163,SC-00130,CTR-00121,ONT Nokia,Firewall,Nokia,CLT-130369,SAP-70991,10.173.5.145,GE2/19
EQC-000164,SC-00130,CTR-00121,Switch Cisco Catalyst,Switch,Cisco,CLT-497211,SAP-17447,10.218.192.68,GE1/19
EQC-000165,SC-00131,CTR-00122,Firewall Fortinet,Firewall,Fortinet,CLT-896935,SAP-95850,10.216.178.81,GE3/33
EQC-000166,SC-00132,CTR-00123,Firewall Fortinet,Routeur entreprise,Fortinet,CLT-515405,SAP-76312,10.59.152.206,GE0/35
EQC-000167,SC-00133,CTR-00124,Switch Cisco Catalyst,Routeur entreprise,Cisco,CLT-788454,SAP-42215,10.166.253.95,GE0/8
EQC-000168,SC-00134,CTR-00125,Firewall Fortinet,Firewall,Fortinet,CLT-257900,SAP-63744,10.7.210.12,GE2/21
EQC-000169,SC-00135,CTR-00126,Routeur Cisco ISR,Switch,Cisco,CLT-446053,SAP-75274,10.145.84.54,GE3/16
EQC-000170,SC-00135,CTR-00126,Routeur Cisco ISR,CPE,Cisco,CLT-257449,SAP-68726,10.182.139.59,GE0/22
EQC-000171,SC-00136,CTR-00127,Routeur Huawei,Switch,Huawei,CLT-549733,SAP-33177,10.121.161.50,GE1/0
EQC-000172,SC-00137,CTR-00128,Routeur Cisco ISR,Routeur entreprise,Cisco,CLT-217491,SAP-63394,10.46.237.107,GE1/27
EQC-000173,SC-00138,CTR-00129,ONT Nokia,ONT,Nokia,CLT-728482,SAP-81144,10.45.247.142,GE3/15
EQC-000174,SC-00139,CTR-00130,Routeur Cisco ISR,Firewall,Cisco,CLT-754120,SAP-99783,10.86.121.127,GE3/1
